year,marathon,country,finishers,mean_time
2005,"Avenue of the Giants
  Marathon",US,542,271.69
2006,"Avenue of the Giants
  Marathon",US,362,271.54
2007,"Avenue of the Giants
  Marathon",US,322,276.09
2008,"Avenue of the Giants
  Marathon",US,277,254.14
2009,"Avenue of the Giants
  Marathon",US,415,270.12
2010,"Avenue of the Giants
  Marathon",US,435,268.37
2011,"Avenue of the Giants
  Marathon",US,566,271.05
2012,"Avenue of the Giants
  Marathon",US,412,257.78
2013,"Avenue of the Giants
  Marathon",US,523,270.58
2009,"Ayala Park Marathon
  & 3,6,12 Hour Races",US,9,296.97
2001,"B&A Trail
  Marathon",US,215,247.59
2002,"B&A Trail
  Marathon",US,221,247.56
2004,"B&A Trail
  Marathon",US,250,251.83
2005,"B&A Trail
  Marathon",US,219,254.46
2006,"B&A Trail
  Marathon",US,246,251.46
2007,"B&A Trail
  Marathon",US,147,243.15
2008,"B&A Trail
  Marathon",US,240,246.1
2009,"B&A Trail
  Marathon",US,255,249.62
2010,"B&A Trail
  Marathon",US,266,257.62
2011,"B&A Trail
  Marathon",US,253,256.75
2012,"B&A Trail
  Marathon",US,329,254.81
2013,"B&A Trail
  Marathon",US,181,251.36
2010,Bacchus Marathon,Australia,36,249.76
2011,Bacchus Marathon,Australia,77,276.06
2012,Bacchus Marathon,Australia,154,287.52
2013,Bacchus Marathon,Australia,155,275.85
2001,Baltimore Marathon,US,4809,279.38
2002,Baltimore Marathon,US,2136,270.16
2003,Baltimore Marathon,US,2007,263.19
2004,Baltimore Marathon,US,2351,262.04
2005,Baltimore Marathon,US,2410,274.71
2006,Baltimore Marathon,US,2149,262.23
2007,Baltimore Marathon,US,2527,264.28
2008,Baltimore Marathon,US,3133,270.43
2009,Baltimore Marathon,US,3152,270.32
2010,Baltimore Marathon,US,3365,265.36
2011,Baltimore Marathon,US,3206,273.56
2012,Baltimore Marathon,US,3020,265.94
2013,Baltimore Marathon,US,3120,274.22
2001,"Bank of America
  Marathon",US,1426,271.48
2007,Barcelona Marathon,Spain,6166,234.6
2008,Barcelona Marathon,Spain,7629,234.77
2009,Barcelona Marathon,Spain,8229,230.61
2010,Barcelona Marathon,Spain,10225,229.99
2011,Barcelona Marathon,Spain,12468,233.29
2007,"Bass Pro Shops
  Marathon",US,256,262.67
2008,"Bass Pro Shops
  Marathon",US,312,280.17
2009,"Bass Pro Shops
  Marathon",US,318,275.22
2010,"Bass Pro Shops
  Marathon",US,294,281.08
2011,"Bass Pro Shops
  Marathon",US,274,271.44
2012,"Bass Pro Shops
  Marathon",US,432,274.14
2013,"Bass Pro Shops
  Marathon",US,508,275.92
2001,"Bataan Memorial Death
  March Marathon",US,1151,456.53
2002,"Bataan Memorial Death
  March Marathon",US,1789,477.04
2004,"Bataan Memorial Death
  March Marathon",US,1386,453.43
2005,"Bataan Memorial Death
  March Marathon",US,1650,449.65
2006,"Bataan Memorial Death
  March Marathon",US,1792,461.45
2007,"Bataan Memorial Death
  March Marathon",US,1996,460.05
2008,"Bataan Memorial Death
  March Marathon",US,2070,471.01
2009,"Bataan Memorial Death
  March Marathon",US,1602,453.51
2010,"Bataan Memorial Death
  March Marathon",US,1489,443.81
2011,"Bataan Memorial Death
  March Marathon",US,1758,446.57
2012,"Bataan Memorial Death
  March Marathon",US,1856,465.72
2013,"Bataan Memorial Death
  March Marathon",US,2842,488.25
2001,"Baton Rouge Beach
  Marathon",US,116,252.6
2002,"Baton Rouge Beach
  Marathon",US,111,257.61
2003,"Baton Rouge Beach
  Marathon",US,120,258.79
2004,"Baton Rouge Beach
  Marathon",US,158,250.84
2005,"Baton Rouge Beach
  Marathon",US,92,269.38
2006,"Baton Rouge Beach
  Marathon",US,150,264.56
2007,"Baton Rouge Beach
  Marathon",US,150,262.73
2008,"Baton Rouge Beach
  Marathon",US,167,254.39
2009,"Baton Rouge Beach
  Marathon",US,199,254.76
2010,"Baton Rouge Beach
  Marathon",US,234,273.71
2011,"Baton Rouge Beach
  Marathon",US,301,273.54
2012,"Baton Rouge Beach
  Marathon",US,293,274.59
2013,"Baton Rouge Beach
  Marathon",US,168,261.42
2000,Bay State Marathon,US,751,227.81
2001,Bay State Marathon,US,740,237.88
2002,Bay State Marathon,US,609,222.72
2003,Bay State Marathon,US,482,228.59
2004,Bay State Marathon,US,499,233.42
2005,Bay State Marathon,US,544,234.4
2006,Bay State Marathon,US,677,234.19
2007,Bay State Marathon,US,716,232.35
2008,Bay State Marathon,US,1195,230.94
2009,Bay State Marathon,US,1566,233.95
2010,Bay State Marathon,US,1566,233.81
2011,Bay State Marathon,US,979,243.38
2012,Bay State Marathon,US,1148,239.08
2013,Bay State Marathon,US,1297,240.11
2013,"Bay of Fundy
  International Marathon",US,448,282.46
2000,Bayshore Marathon,US,402,231.23
2001,Bayshore Marathon,US,530,240.04
2002,Bayshore Marathon,US,740,244.06
2003,Bayshore Marathon,US,852,242.41
2004,Bayshore Marathon,US,995,247.25
2005,Bayshore Marathon,US,750,249.32
2006,Bayshore Marathon,US,858,249.58
