marathon,marathon_name,state_id,city,finishers,mean_time,lat,lng,elevation_m,date,month,day,year
Birch Bay Marathon,Birch Bay Marathon,WA,Birch Bay,97,267.92,48.923,-122.7543,-4.17,2013-02-16,2,16,2013
"Bizz Johnson Trail
  Marathon",Bizz Johnson Trail Marathon,CA,Susanville,268,270.02,40.4205,-120.6129,1681.07,2004-10-11,10,11,2004
"Bizz Johnson Trail
  Marathon",Bizz Johnson Trail Marathon,CA,Susanville,471,272.69,40.4205,-120.6129,1681.07,2005-10-11,10,11,2005
"Bizz Johnson Trail
  Marathon",Bizz Johnson Trail Marathon,CA,Susanville,353,270.77,40.4205,-120.6129,1681.07,2006-10-11,10,11,2006
"Bizz Johnson Trail
  Marathon",Bizz Johnson Trail Marathon,CA,Susanville,521,272.49,40.4205,-120.6129,1681.07,2007-10-11,10,11,2007
"Bizz Johnson Trail
  Marathon",Bizz Johnson Trail Marathon,CA,Susanville,442,269.89,40.4205,-120.6129,1681.07,2008-10-11,10,11,2008
"Bizz Johnson Trail
  Marathon",Bizz Johnson Trail Marathon,CA,Susanville,360,272.22,40.4205,-120.6129,1681.07,2009-10-11,10,11,2009
"Bizz Johnson Trail
  Marathon",Bizz Johnson Trail Marathon,CA,Susanville,213,270.42,40.4205,-120.6129,1681.07,2010-10-11,10,11,2010
"Bizz Johnson Trail
  Marathon",Bizz Johnson Trail Marathon,CA,Susanville,142,278.71,40.4205,-120.6129,1681.07,2011-10-11,10,11,2011
"Bizz Johnson Trail
  Marathon",Bizz Johnson Trail Marathon,CA,Susanville,198,284.01,40.4205,-120.6129,1681.07,2012-10-11,10,11,2012
"Bizz Johnson Trail
  Marathon",Bizz Johnson Trail Marathon,CA,Susanville,131,264.01,40.4205,-120.6129,1681.07,2013-10-11,10,11,2013
"Black Mountain
  Marathon",Black Mountain Marathon,NC,Black Mountain,78,281.23,35.6142,-82.3275,713.96,2001-02-28,2,28,2001
"Black Mountain
  Marathon",Black Mountain Marathon,NC,Black Mountain,94,285.03,35.6142,-82.3275,713.96,2002-02-28,2,28,2002
"Black Mountain
  Marathon",Black Mountain Marathon,NC,Black Mountain,70,307.32,35.6142,-82.3275,713.96,2003-02-28,2,28,2003
"Black Mountain
  Marathon",Black Mountain Marathon,NC,Black Mountain,88,304.28,35.6142,-82.3275,713.96,2004-02-28,2,28,2004
"Black Mountain
  Marathon",Black Mountain Marathon,NC,Black Mountain,109,297.63,35.6142,-82.3275,713.96,2005-02-28,2,28,2005
