number,first,last
22514,2,4
8422,8,2
24352,2,2
34113,3,3
1654,1,4
65510,6,0
1.7469999999999999,1,7
37000,3,0
7497,7,7
10689,1,9
2653,2,3
14500,1,0
5658,5,8
3217,3,7
1.31375,1,5
72847,7,7
39908,3,8
19900,1,0
17500,1,0
28800,2,0
12652,1,2
1.4287299999999998,1,3
36736,3,6
2784,2,4
3786,3,6
8995,8,5
22425,2,5
7489,7,9
22796,2,6
1.4016799999999998,1,8
39996,3,6
9575,9,5
2976,2,6
1.1680300000000001,1,3
20195,2,5
9000,9,0
8710,8,0
1.23848,1,8
28040,2,0
2.25345,2,5
8125,8,5
9600,9,0
1875,1,5
10715,1,5
12998,1,8
12659,1,9
50000,5,0
4999,4,9
14707,1,7
77500,7,0
23484,2,4
29110,2,0
12800,1,0
12975,1,5
14850,1,0
17100,1,0
21450,2,0
6100,6,0
26400,2,0
68900,6,0
9905,9,5
4242,4,2
5048,5,8
19500,1,0
4.6659999999999995,4,6
17769,1,9
1100,1,0
1221,1,1
36300,3,0
24429,2,9
18708,1,8
10670,1,0
98500,9,0
1650,1,0
2484,2,4
1.59371,1,1
3300,3,0
14950,1,0
5010,5,0
8702,8,2
1.0567,1,7
58908,5,8
13106,1,6
32307,3,7
31600,3,0
38000,3,0
2220,2,0
399,3,9
912,9,2
41600,4,0
2.2579300000000004,2,3
32985,3,5
15772,1,2
79565,7,5
13363,1,3
2394,2,4
6645,6,5
8959,8,9
16407,1,7
11900,1,0
4984,4,4
342,3,2
6920,6,0
1.4816299999999998,1,3
1.26077,1,7
1000,1,0
3375,3,5
1.35397,1,7
23750,2,0
17574,1,4
11197,1,7
1.23804,1,4
360,3,0
1.18699,1,9
1864,1,4
1208,1,8
23300,2,0
13972,1,2
1.12903,1,3
1.1767,1,7
1.035,1,5
2.5,2,5
20439,2,9
14000,1,0
53200,5,0
12182,1,2
3898,3,8
16995,1,5
27257,2,7
57800,5,0
39500,3,0
56700,5,0
5000,5,0
14300,1,0
15458,1,8
41560,4,0
28350,2,0
27609,2,9
30000,3,0
16975,1,5
8150,8,0
16500,1,0
44900,4,0
14278,1,8
650,6,0
27738,2,8
40578,4,8
20175,2,5
15885,1,5
23825,2,5
81999,8,9
20757,2,7
2851,2,1
2554,2,4
2554,2,4
2.0725999999999996,2,6
50081,5,1
31994,3,4
40436,4,6
11350,1,0
1920,1,0
9369,9,9
1.03293,1,3
2805,2,5
26052,2,2
13200,1,0
1.3201500000000002,1,5
6292,6,2
12995,1,5
400,4,0
1358,1,8
16022,1,2
8140,8,0
29799,2,9
4800,4,0
3647,3,7
13531,1,1
6375,6,5
362,3,2
380,3,0
957,9,7
29999,2,9
374,3,4
1.05646,1,6
3049,3,9
1319,1,9
48855,4,5
40683,4,3
367,3,7
1540,1,0
7378,7,8
53997,5,7
380,3,0
357,3,7
1540,1,0
362,3,2
362,3,2
367,3,7
367,3,7
367,3,7
380,3,0
380,3,0
380,3,0
380,3,0
380,3,0
380,3,0
380,3,0
385,3,5
385,3,5
385,3,5
385,3,5
385,3,5
385,3,5
385,3,5
385,3,5
385,3,5
385,3,5
685,6,5
437,4,7
367,3,7
21619,2,9
10000,1,0
3635,3,5
362,3,2
362,3,2
362,3,2
362,3,2
362,3,2
362,3,2
4110,4,0
68856,6,6
4977,4,7
29844,2,4
69120,6,0
2.31018,2,8
8494,8,4
60500,6,0
575,5,5
1.004,1,4
2.48405,2,5
10170,1,0
1313,1,3
79226,7,6
25482,2,2
60400,6,0
12240,1,0
12956,1,6
72712,7,2
13892,1,2
5999,5,9
2500,2,0
4686,4,6
92224,9,4
46211,4,1
10260,1,0
44503,4,3
54293,5,3
8500,8,0
5400,5,0
10844,1,4
1.01412,1,2
9840,9,0
41915,4,5
7650,7,0
547,5,7
31735,3,5
39085,3,5
216,2,6
2085,2,5
48863,4,3
88557,8,7
1.7374999999999998,1,5
24765,2,5
4348,4,8
5069,5,9
21859,2,9
6789,6,9
362,3,2
20757,2,7
4800,4,0
35000,3,0
4360,4,0
1.2169999999999999,1,7
9500,9,0
5332,5,2
21626,2,6
47985,4,5
2115,2,5
196,1,6
3459,3,9
36500,3,0
799,7,9
13994,1,4
4245,4,5
21633,2,3
1233,1,3
2995,2,5
21224,2,4
7000,7,0
15598,1,8
5758,5,8
15100,1,0
1.19372,1,2
28500,2,0
48120,4,0
4200,4,0
3998,3,8
7300,7,0
