country,city,location,number,first,last
US,Roosevelt,"Washington, Klickitat",107,1,7
US,Long Beach,"Washington, Pacific",1413,1,3
US,Trout Lake,"Washington, Klickitat",654,6,4
US,Coulee Dam,"Washington, Okanogan",1079,1,9
US,Swede Heaven,"Washington, Snohomish",1030,1,0
US,Pine Grove,"Washington, Ferry",111,1,1
US,Langley,"Washington, Island",1124,1,4
US,Sedro-Woolley,"Washington, Skagit",11838,1,8
US,Hatton,"Washington, Adams",101,1,1
US,Entiat,"Washington, Chelan",1223,1,3
US,Bainbridge Island,"Washington, Kitsap",24522,2,2
US,Auburn,"Washington, King",80776,8,6
US,Ocean City,"Washington, Grays Harbor",168,1,8
US,White Swan,"Washington, Yakima",973,9,3
US,Felida,"Washington, Clark",8065,8,5
US,Lacey,"Washington, Thurston",49748,4,8
US,Gold Bar,"Washington, Snohomish",2301,2,1
US,Clyde Hill,"Washington, King",3318,3,8
US,Upper Elochoman,"Washington, Wahkiakum",70,7,0
US,Marcus,"Washington, Stevens",183,1,3
US,Canyon Creek,"Washington, Snohomish",3319,3,9
US,Malone,"Washington, Grays Harbor",543,5,3
US,Bothell East,"Washington, Snohomish",10424,1,4
US,Yarrow Point,"Washington, King",1126,1,6
US,Steptoe,"Washington, Whitman",183,1,3
US,West Richland,"Washington, Benton",14596,1,6
US,Orient,"Washington, Ferry",132,1,2
US,Federal Way,"Washington, King",96690,9,0
US,Pe Ell,"Washington, Lewis",653,6,3
US,Deep River,"Washington, Wahkiakum",151,1,1
US,Bothell,"Washington, King",45533,4,3
US,South Wenatchee,"Washington, Chelan",2057,2,7
US,Snoqualmie Pass,"Washington, Kittitas",235,2,5
US,Hartline,"Washington, Grant",154,1,4
US,Lake Forest Park,"Washington, King",13392,1,2
US,Crocker,"Washington, Pierce",1332,1,2
US,Elbe,"Washington, Pierce",53,5,3
US,Ravensdale,"Washington, King",1579,1,9
US,Arlington,"Washington, Snohomish",19212,1,2
US,McChord AFB,"Washington, Pierce",3337,3,7
US,Lebam,"Washington, Pacific",101,1,1
US,Lynden,"Washington, Whatcom",17340,1,0
US,Coupeville,"Washington, Island",1928,1,8
US,Prescott,"Washington, Walla Walla",304,3,4
US,South Bend,"Washington, Pacific",1651,1,1
US,Mabton,"Washington, Yakima",2532,2,2
US,North Bend,"Washington, King",6821,6,1
US,Grapeview,"Washington, Mason",982,9,2
US,Garfield,"Washington, Whitman",614,6,4
US,Rochester,"Washington, Thurston",2923,2,3
US,Dayton,"Washington, Columbia",2637,2,7
US,Algona,"Washington, King",3185,3,5
US,Mineral,"Washington, Lewis",193,1,3
US,Barstow,"Washington, Ferry",119,1,9
US,Moclips,"Washington, Grays Harbor",0,0,0
US,Bellingham,"Washington, Whatcom",126015,1,5
US,Vader,"Washington, Lewis",643,6,3
US,North Lynnwood,"Washington, Snohomish",20626,2,6
US,Tracyton,"Washington, Kitsap",5937,5,7
US,White Salmon,"Washington, Klickitat",2552,2,2
US,Peaceful Valley,"Washington, Whatcom",4196,4,6
US,East Renton Highlands,"Washington, King",11401,1,1
US,Metaline,"Washington, Pend Oreille",178,1,8
US,Deming,"Washington, Whatcom",240,2,0
US,Medical Lake,"Washington, Spokane",4818,4,8
US,Aberdeen,"Washington, Grays Harbor",29089,2,9
US,Chehalis,"Washington, Lewis",7533,7,3
US,Onalaska,"Washington, Lewis",709,7,9
US,Toledo,"Washington, Lewis",751,7,1
US,Everson,"Washington, Whatcom",4709,4,9
US,Belfair,"Washington, Mason",4063,4,3
US,Lynnwood,"Washington, Snohomish",38273,3,3
US,Colton,"Washington, Whitman",467,4,7
US,Malden,"Washington, Whitman",209,2,9
US,Ames Lake,"Washington, King",1526,1,6
US,Wilson Creek,"Washington, Grant",212,2,2
US,North Yelm,"Washington, Thurston",2887,2,7
US,Mirrormont,"Washington, King",3682,3,2
US,Whidbey Island Station,"Washington, Island",1938,1,8
US,Town and Country,"Washington, Spokane",5001,5,1
US,Tokeland,"Washington, Pacific",330,3,0
US,Snoqualmie,"Washington, King",26054,2,4
US,Bremerton,"Washington, Kitsap",216480,2,0
US,East Cathlamet,"Washington, Wahkiakum",503,5,3
US,Fort Lewis,"Washington, Pierce",13920,1,0
US,Salmon Creek,"Washington, Clark",21068,2,8
US,Skykomish,"Washington, King",216,2,6
US,Tacoma,"Washington, Pierce",213418,2,8
US,Monroe,"Washington, Snohomish",18789,1,9
US,Loomis,"Washington, Okanogan",117,1,7
US,Pomeroy,"Washington, Garfield",1388,1,8
US,Brush Prairie,"Washington, Clark",2783,2,3
US,Silver Firs,"Washington, Snohomish",22937,2,7
US,Nespelem,"Washington, Okanogan",313,3,3
US,Meadowdale,"Washington, Snohomish",3049,3,9
US,Shadow Lake,"Washington, King",2655,2,5
US,LaCrosse,"Washington, Whitman",324,3,4
US,Concrete,"Washington, Skagit",729,7,9
US,Sumas,"Washington, Whatcom",1464,1,4
US,Ruston,"Washington, Pierce",828,8,8
US,La Center,"Washington, Clark",3171,3,1
US,Marrowstone,"Washington, Jefferson",1084,1,4
US,Chelan Falls,"Washington, Chelan",86,8,6
US,Lake Cavanaugh,"Washington, Skagit",179,1,9
US,Duluth,"Washington, Clark",1379,1,9
US,Sequim,"Washington, Clallam",20750,2,0
US,Benton City,"Washington, Benton",4591,4,1
US,Moses Lake,"Washington, Grant",37774,3,4
US,Fircrest,"Washington, Pierce",6794,6,4
US,Othello,"Washington, Adams",12375,1,5
US,Mercer Island,"Washington, King",25261,2,1
US,Enumclaw,"Washington, King",11784,1,4
US,Chico,"Washington, Kitsap",2635,2,5
US,Enetai,"Washington, Kitsap",2231,2,1
US,Hunts Point,"Washington, King",434,4,4
US,Clinton,"Washington, Island",811,8,1
US,Hat Island,"Washington, Snohomish",48,4,8
US,Marietta-Alderwood,"Washington, Whatcom",4495,4,5
US,Waitsburg,"Washington, Walla Walla",1195,1,5
US,Sunnyslope,"Washington, Chelan",3641,3,1
US,South Cle Elum,"Washington, Kittitas",560,5,0
US,Selah,"Washington, Yakima",7859,7,9
US,Lind,"Washington, Adams",556,5,6
US,Five Corners,"Washington, Clark",18405,1,5
US,Winthrop,"Washington, Okanogan",439,4,9
US,Normandy Park,"Washington, King",6649,6,9
US,Home,"Washington, Pierce",1375,1,5
US,Graham,"Washington, Pierce",26939,2,9
US,Yacolt,"Washington, Clark",1735,1,5
US,Packwood,"Washington, Lewis",230,2,0
US,Queets,"Washington, Grays Harbor",199,1,9
US,Finley,"Washington, Benton",6015,6,5
US,Northport,"Washington, Stevens",296,2,6
US,Medina,"Washington, King",3267,3,7
US,Browns Point,"Washington, Pierce",1122,1,2
US,Summit,"Washington, Pierce",7876,7,6
US,Albion,"Washington, Whitman",608,6,8
US,Sudden Valley,"Washington, Whatcom",7621,7,1
US,Bunk Foss,"Washington, Snohomish",3604,3,4
US,Gleed,"Washington, Yakima",2474,2,4
US,Maryhill,"Washington, Klickitat",73,7,3
US,Oyehut,"Washington, Grays Harbor",0,0,0
US,Alder,"Washington, Pierce",133,1,3
US,Ridgefield,"Washington, Clark",7117,7,7
US,Bryant,"Washington, Snohomish",1990,1,0
US,Nisqually Indian Community,"Washington, Thurston",690,6,0
US,Porter,"Washington, Grays Harbor",222,2,2
US,Kettle Falls,"Washington, Stevens",1611,1,1
US,Chelan,"Washington, Chelan",6078,6,8
US,Edison,"Washington, Skagit",156,1,6
US,Neilton,"Washington, Grays Harbor",373,3,3
US,Fox Island,"Washington, Pierce",3848,3,8
US,Renton,"Washington, King",101379,1,9
US,Baring,"Washington, King",173,1,3
US,Hobart,"Washington, King",6736,6,6
US,Wallula,"Washington, Walla Walla",329,3,9
US,Touchet,"Washington, Walla Walla",437,4,7
US,Leavenworth,"Washington, Chelan",3332,3,2
US,Fobes Hill,"Washington, Snohomish",2779,2,9
US,Harrington,"Washington, Lincoln",411,4,1
US,Port Orchard,"Washington, Kitsap",13997,1,7
US,Alderwood Manor,"Washington, Snohomish",8817,8,7
US,Kennewick,"Washington, Benton",232915,2,5
US,Ahtanum,"Washington, Yakima",3076,3,6
US,Wilderness Rim,"Washington, King",1443,1,3
US,Machias,"Washington, Snohomish",886,8,6
US,Bingen,"Washington, Klickitat",729,7,9
US,Four Lakes,"Washington, Spokane",403,4,3
US,Springdale,"Washington, Stevens",293,2,3
US,Washtucna,"Washington, Adams",204,2,4
US,Covington,"Washington, King",20916,2,6
US,Allyn,"Washington, Mason",2650,2,0
US,North Sultan,"Washington, Snohomish",241,2,1
US,Union Gap,"Washington, Yakima",6161,6,1
US,Shelton,"Washington, Mason",19296,1,6
US,Chinook,"Washington, Pacific",300,3,0
