city,location,number,first,last
Hoquiam,"Washington, Grays Harbor",8500,8,0
Willapa,"Washington, Pacific",204,2,4
Quilcene,"Washington, Jefferson",432,4,2
Freeland,"Washington, Island",1698,1,8
McCleary,"Washington, Grays Harbor",1691,1,1
Roosevelt,"Washington, Klickitat",107,1,7
Long Beach,"Washington, Pacific",1413,1,3
Trout Lake,"Washington, Klickitat",654,6,4
Coulee Dam,"Washington, Okanogan",1079,1,9
Swede Heaven,"Washington, Snohomish",1030,1,0
Pine Grove,"Washington, Ferry",111,1,1
Langley,"Washington, Island",1124,1,4
Sedro-Woolley,"Washington, Skagit",11838,1,8
Hatton,"Washington, Adams",101,1,1
Entiat,"Washington, Chelan",1223,1,3
Bainbridge Island,"Washington, Kitsap",24522,2,2
Auburn,"Washington, King",80776,8,6
Ocean City,"Washington, Grays Harbor",168,1,8
White Swan,"Washington, Yakima",973,9,3
Felida,"Washington, Clark",8065,8,5
Lacey,"Washington, Thurston",49748,4,8
Gold Bar,"Washington, Snohomish",2301,2,1
Clyde Hill,"Washington, King",3318,3,8
Upper Elochoman,"Washington, Wahkiakum",70,7,0
Marcus,"Washington, Stevens",183,1,3
Canyon Creek,"Washington, Snohomish",3319,3,9
Malone,"Washington, Grays Harbor",543,5,3
Bothell East,"Washington, Snohomish",10424,1,4
Yarrow Point,"Washington, King",1126,1,6
Steptoe,"Washington, Whitman",183,1,3
West Richland,"Washington, Benton",14596,1,6
Orient,"Washington, Ferry",132,1,2
Federal Way,"Washington, King",96690,9,0
Pe Ell,"Washington, Lewis",653,6,3
Deep River,"Washington, Wahkiakum",151,1,1
Bothell,"Washington, King",45533,4,3
South Wenatchee,"Washington, Chelan",2057,2,7
Snoqualmie Pass,"Washington, Kittitas",235,2,5
Hartline,"Washington, Grant",154,1,4
Lake Forest Park,"Washington, King",13392,1,2
Crocker,"Washington, Pierce",1332,1,2
Elbe,"Washington, Pierce",53,5,3
Ravensdale,"Washington, King",1579,1,9
Arlington,"Washington, Snohomish",19212,1,2
McChord AFB,"Washington, Pierce",3337,3,7
Lebam,"Washington, Pacific",101,1,1
Lynden,"Washington, Whatcom",17340,1,0
Coupeville,"Washington, Island",1928,1,8
Prescott,"Washington, Walla Walla",304,3,4
South Bend,"Washington, Pacific",1651,1,1
Mabton,"Washington, Yakima",2532,2,2
North Bend,"Washington, King",6821,6,1
Grapeview,"Washington, Mason",982,9,2
Garfield,"Washington, Whitman",614,6,4
Rochester,"Washington, Thurston",2923,2,3
Dayton,"Washington, Columbia",2637,2,7
Algona,"Washington, King",3185,3,5
Mineral,"Washington, Lewis",193,1,3
Barstow,"Washington, Ferry",119,1,9
Moclips,"Washington, Grays Harbor",0,0,0
Bellingham,"Washington, Whatcom",126015,1,5
Vader,"Washington, Lewis",643,6,3
North Lynnwood,"Washington, Snohomish",20626,2,6
Tracyton,"Washington, Kitsap",5937,5,7
White Salmon,"Washington, Klickitat",2552,2,2
Peaceful Valley,"Washington, Whatcom",4196,4,6
East Renton Highlands,"Washington, King",11401,1,1
Metaline,"Washington, Pend Oreille",178,1,8
Deming,"Washington, Whatcom",240,2,0
Medical Lake,"Washington, Spokane",4818,4,8
Aberdeen,"Washington, Grays Harbor",29089,2,9
Chehalis,"Washington, Lewis",7533,7,3
Onalaska,"Washington, Lewis",709,7,9
Toledo,"Washington, Lewis",751,7,1
Everson,"Washington, Whatcom",4709,4,9
Belfair,"Washington, Mason",4063,4,3
Lynnwood,"Washington, Snohomish",38273,3,3
Colton,"Washington, Whitman",467,4,7
Malden,"Washington, Whitman",209,2,9
Ames Lake,"Washington, King",1526,1,6
Wilson Creek,"Washington, Grant",212,2,2
North Yelm,"Washington, Thurston",2887,2,7
Mirrormont,"Washington, King",3682,3,2
Whidbey Island Station,"Washington, Island",1938,1,8
Town and Country,"Washington, Spokane",5001,5,1
Tokeland,"Washington, Pacific",330,3,0
Snoqualmie,"Washington, King",26054,2,4
Bremerton,"Washington, Kitsap",216480,2,0
East Cathlamet,"Washington, Wahkiakum",503,5,3
Fort Lewis,"Washington, Pierce",13920,1,0
Salmon Creek,"Washington, Clark",21068,2,8
Skykomish,"Washington, King",216,2,6
Tacoma,"Washington, Pierce",213418,2,8
Monroe,"Washington, Snohomish",18789,1,9
Loomis,"Washington, Okanogan",117,1,7
Pomeroy,"Washington, Garfield",1388,1,8
Brush Prairie,"Washington, Clark",2783,2,3
Silver Firs,"Washington, Snohomish",22937,2,7
Nespelem,"Washington, Okanogan",313,3,3
Meadowdale,"Washington, Snohomish",3049,3,9
Shadow Lake,"Washington, King",2655,2,5
LaCrosse,"Washington, Whitman",324,3,4
Concrete,"Washington, Skagit",729,7,9
Sumas,"Washington, Whatcom",1464,1,4
Ruston,"Washington, Pierce",828,8,8
La Center,"Washington, Clark",3171,3,1
Marrowstone,"Washington, Jefferson",1084,1,4
Chelan Falls,"Washington, Chelan",86,8,6
Lake Cavanaugh,"Washington, Skagit",179,1,9
Duluth,"Washington, Clark",1379,1,9
Sequim,"Washington, Clallam",20750,2,0
Benton City,"Washington, Benton",4591,4,1
Moses Lake,"Washington, Grant",37774,3,4
Fircrest,"Washington, Pierce",6794,6,4
Othello,"Washington, Adams",12375,1,5
Mercer Island,"Washington, King",25261,2,1
Enumclaw,"Washington, King",11784,1,4
Chico,"Washington, Kitsap",2635,2,5
Enetai,"Washington, Kitsap",2231,2,1
Hunts Point,"Washington, King",434,4,4
Clinton,"Washington, Island",811,8,1
Hat Island,"Washington, Snohomish",48,4,8
Marietta-Alderwood,"Washington, Whatcom",4495,4,5
Waitsburg,"Washington, Walla Walla",1195,1,5
Sunnyslope,"Washington, Chelan",3641,3,1
South Cle Elum,"Washington, Kittitas",560,5,0
Selah,"Washington, Yakima",7859,7,9
Lind,"Washington, Adams",556,5,6
Five Corners,"Washington, Clark",18405,1,5
Winthrop,"Washington, Okanogan",439,4,9
Normandy Park,"Washington, King",6649,6,9
Home,"Washington, Pierce",1375,1,5
Graham,"Washington, Pierce",26939,2,9
Yacolt,"Washington, Clark",1735,1,5
Packwood,"Washington, Lewis",230,2,0
Queets,"Washington, Grays Harbor",199,1,9
Finley,"Washington, Benton",6015,6,5
Northport,"Washington, Stevens",296,2,6
Medina,"Washington, King",3267,3,7
Browns Point,"Washington, Pierce",1122,1,2
Summit,"Washington, Pierce",7876,7,6
Albion,"Washington, Whitman",608,6,8
Sudden Valley,"Washington, Whatcom",7621,7,1
Bunk Foss,"Washington, Snohomish",3604,3,4
Gleed,"Washington, Yakima",2474,2,4
Maryhill,"Washington, Klickitat",73,7,3
Oyehut,"Washington, Grays Harbor",0,0,0
Alder,"Washington, Pierce",133,1,3
Ridgefield,"Washington, Clark",7117,7,7
Bryant,"Washington, Snohomish",1990,1,0
Nisqually Indian Community,"Washington, Thurston",690,6,0
Porter,"Washington, Grays Harbor",222,2,2
Kettle Falls,"Washington, Stevens",1611,1,1
Chelan,"Washington, Chelan",6078,6,8
Edison,"Washington, Skagit",156,1,6
Neilton,"Washington, Grays Harbor",373,3,3
Fox Island,"Washington, Pierce",3848,3,8
Renton,"Washington, King",101379,1,9
Baring,"Washington, King",173,1,3
Hobart,"Washington, King",6736,6,6
Wallula,"Washington, Walla Walla",329,3,9
Touchet,"Washington, Walla Walla",437,4,7
Leavenworth,"Washington, Chelan",3332,3,2
Fobes Hill,"Washington, Snohomish",2779,2,9
Harrington,"Washington, Lincoln",411,4,1
Port Orchard,"Washington, Kitsap",13997,1,7
Alderwood Manor,"Washington, Snohomish",8817,8,7
Kennewick,"Washington, Benton",232915,2,5
Ahtanum,"Washington, Yakima",3076,3,6
Wilderness Rim,"Washington, King",1443,1,3
Machias,"Washington, Snohomish",886,8,6
Bingen,"Washington, Klickitat",729,7,9
Four Lakes,"Washington, Spokane",403,4,3
Springdale,"Washington, Stevens",293,2,3
Washtucna,"Washington, Adams",204,2,4
Covington,"Washington, King",20916,2,6
Allyn,"Washington, Mason",2650,2,0
North Sultan,"Washington, Snohomish",241,2,1
Union Gap,"Washington, Yakima",6161,6,1
Shelton,"Washington, Mason",19296,1,6
Chinook,"Washington, Pacific",300,3,0
Blaine,"Washington, Whatcom",5311,5,1
Port Hadlock-Irondale,"Washington, Jefferson",3765,3,5
Burley,"Washington, Kitsap",1941,1,1
Mount Vernon,"Washington, Skagit",69528,6,8
Electric City,"Washington, Grant",1001,1,1
Ronald,"Washington, Kittitas",284,2,4
Nespelem Community,"Washington, Okanogan",259,2,9
Amanda Park,"Washington, Grays Harbor",119,1,9
Clarkston Heights-Vineland,"Washington, Asotin",6453,6,3
Boulevard Park,"Washington, King",3916,3,6
Big Lake,"Washington, Skagit",1784,1,4
Boyds,"Washington, Ferry",76,7,6
Parkwood,"Washington, Kitsap",6559,6,9
Deer Park,"Washington, Spokane",3868,3,8
Humptulips,"Washington, Grays Harbor",277,2,7
SeaTac,"Washington, King",29140,2,0
Maple Valley,"Washington, King",25758,2,8
Millwood,"Washington, Spokane",1784,1,4
Point Roberts,"Washington, Whatcom",1251,1,1
Dixie,"Washington, Walla Walla",256,2,6
East Port Orchard,"Washington, Kitsap",5334,5,4
Morton,"Washington, Lewis",1159,1,9
Alger,"Washington, Skagit",235,2,5
Kahlotus,"Washington, Franklin",199,1,9
Fife Heights,"Washington, Pierce",2185,2,5
Cherry Grove,"Washington, Clark",689,6,9
Clearview,"Washington, Snohomish",3907,3,7
Greenwater,"Washington, Pierce",28,2,8
