city,location,number,first,last
Morrisville,"Missouri, Polk",389,3,9
Florida,"Missouri, Monroe",0,0,0
Lake Annette,"Missouri, Cass",100,1,0
Adrian,"Missouri, Bates",1608,1,8
Airport Drive,"Missouri, Jasper",850,8,0
Ionia,"Missouri, Benton",88,8,8
Cool Valley,"Missouri, St. Louis",1167,1,7
Sikeston,"Missouri, Scott",16371,1,1
Eminence,"Missouri, Shannon",584,5,4
Lock Springs,"Missouri, Daviess",57,5,7
Hale,"Missouri, Carroll",399,3,9
Perryville,"Missouri, Perry",8660,8,0
Seymour,"Missouri, Webster",1993,1,3
Pagedale,"Missouri, St. Louis",3294,3,4
Ashburn,"Missouri, Pike",19,1,9
Hartville,"Missouri, Wright",609,6,9
Moberly,"Missouri, Randolph",13742,1,2
Holland,"Missouri, Pemiscot",210,2,0
Harrisonville,"Missouri, Cass",9435,9,5
Purdin,"Missouri, Linn",181,1,1
Tightwad,"Missouri, Henry",67,6,7
Sundown,"Missouri, Ozark",31,3,1
Three Creeks,"Missouri, Warren",6,6,6
Weingarten,"Missouri, Ste. Genevieve",53,5,3
Agency,"Missouri, Buchanan",674,6,4
Carterville,"Missouri, Jasper",1916,1,6
Cosby,"Missouri, Andrew",123,1,3
Alton,"Missouri, Oregon",839,8,9
Pleasant Hill,"Missouri, Cass",8477,8,7
Sweet Springs,"Missouri, Saline",1425,1,5
Caruthersville,"Missouri, Pemiscot",5349,5,9
Loch Lloyd,"Missouri, Cass",749,7,9
Gordonville,"Missouri, Cape Girardeau",392,3,2
Golden City,"Missouri, Barton",728,7,8
St. Peters,"Missouri, St. Charles",57178,5,8
Bourbon,"Missouri, Crawford",1601,1,1
Pascola,"Missouri, Pemiscot",101,1,1
Marshfield,"Missouri, Webster",7418,7,8
Cuba,"Missouri, Crawford",3225,3,5
Velda Village Hills,"Missouri, St. Louis",1045,1,5
Wardsville,"Missouri, Cole",1550,1,0
Champ,"Missouri, St. Louis",13,1,3
Farley,"Missouri, Platte",291,2,1
Richards,"Missouri, Vernon",93,9,3
Neelyville,"Missouri, Butler",474,4,4
Castle Point,"Missouri, St. Louis",3064,3,4
Rock Port,"Missouri, Atchison",1224,1,4
Arbela,"Missouri, Scotland",42,4,2
Glendale,"Missouri, St. Louis",5886,5,6
Lohman,"Missouri, Cole",167,1,7
St. Cloud,"Missouri, Crawford",40,4,0
Green City,"Missouri, Sullivan",605,6,5
Parnell,"Missouri, Nodaway",177,1,7
Raymore,"Missouri, Cass",21167,2,7
Oronogo,"Missouri, Jasper",2553,2,3
Innsbrook,"Missouri, Warren",588,5,8
Taneyville,"Missouri, Taney",399,3,9
Calhoun,"Missouri, Henry",454,4,4
Ravanna,"Missouri, Mercer",77,7,7
Lilbourn,"Missouri, New Madrid",1095,1,5
Frankford,"Missouri, Pike",318,3,8
Horine,"Missouri, Jefferson",1194,1,4
Moline Acres,"Missouri, St. Louis",2390,2,0
Brentwood,"Missouri, St. Louis",7998,7,8
Ellsinore,"Missouri, Carter",443,4,3
Velda City,"Missouri, St. Louis",1383,1,3
Frankclay,"Missouri, St. Francois",116,1,6
La Belle,"Missouri, Lewis",641,6,1
Big Lake,"Missouri, Holt",145,1,5
Gentry,"Missouri, Gentry",71,7,1
Unity Village,"Missouri, Jackson",80,8,0
Williamsville,"Missouri, Wayne",342,3,2
Oakland,"Missouri, St. Louis",1370,1,0
Clyde,"Missouri, Nodaway",76,7,6
Eolia,"Missouri, Pike",519,5,9
Frontenac,"Missouri, St. Louis",3581,3,1
Canalou,"Missouri, New Madrid",310,3,0
Harwood,"Missouri, Vernon",45,4,5
Louisiana,"Missouri, Pike",3023,3,3
Huntsville,"Missouri, Randolph",1519,1,9
St. Clair,"Missouri, Franklin",5945,5,5
Charlack,"Missouri, St. Louis",1360,1,0
Mineral Point,"Missouri, Washington",355,3,5
Atlanta,"Missouri, Macon",375,3,5
Laclede,"Missouri, Linn",331,3,1
Napoleon,"Missouri, Lafayette",213,2,3
Bowling Green,"Missouri, Pike",5568,5,8
Garden City,"Missouri, Cass",1629,1,9
Archie,"Missouri, Cass",1206,1,6
Foristell,"Missouri, St. Charles",571,5,1
Lakeside,"Missouri, Miller",0,0,0
Ava,"Missouri, Douglas",2763,2,3
Diggins,"Missouri, Webster",312,3,2
Vanduser,"Missouri, Scott",264,2,4
Excello,"Missouri, Macon",12,1,2
Affton,"Missouri, St. Louis",21704,2,4
Pontiac,"Missouri, Ozark",226,2,6
Utica,"Missouri, Livingston",252,2,2
Gibbs,"Missouri, Adair",104,1,4
Columbia,"Missouri, Boone",139945,1,5
Ferguson,"Missouri, St. Louis",20728,2,8
Urich,"Missouri, Henry",487,4,7
Lupus,"Missouri, Moniteau",34,3,4
Ashley,"Missouri, Pike",29,2,9
Center,"Missouri, Ralls",506,5,6
Ridgeway,"Missouri, Harrison",439,4,9
Hamilton,"Missouri, Caldwell",1708,1,8
Savannah,"Missouri, Andrew",5269,5,9
Cedar Hill Lakes,"Missouri, Jefferson",236,2,6
Bloomfield,"Missouri, Stoddard",1861,1,1
Paynesville,"Missouri, Pike",76,7,6
Grandview,"Missouri, Jackson",25159,2,9
St. Joseph,"Missouri, Buchanan",80818,8,8
Higbee,"Missouri, Randolph",552,5,2
Winchester,"Missouri, St. Louis",1519,1,9
Buckner,"Missouri, Jackson",3013,3,3
Leawood,"Missouri, Newton",671,6,1
Riverside,"Missouri, Platte",3354,3,4
Chilhowee,"Missouri, Johnson",319,3,9
Versailles,"Missouri, Morgan",2432,2,2
Lincoln,"Missouri, Benton",1181,1,1
Iberia,"Missouri, Miller",744,7,4
Miami,"Missouri, Saline",170,1,0
Lawson,"Missouri, Ray",2394,2,4
Rush Hill,"Missouri, Audrain",147,1,7
Gilliam,"Missouri, Saline",191,1,1
Amoret,"Missouri, Bates",182,1,2
Knob Noster,"Missouri, Johnson",2757,2,7
St. Mary,"Missouri, Ste. Genevieve",348,3,8
Cleveland,"Missouri, Cass",660,6,0
Sappington,"Missouri, St. Louis",7519,7,9
Pasadena Hills,"Missouri, St. Louis",905,9,5
Southwest City,"Missouri, McDonald",953,9,3
Kingsville,"Missouri, Johnson",261,2,1
Newburg,"Missouri, Phelps",439,4,9
Steelville,"Missouri, Crawford",1672,1,2
Mill Spring,"Missouri, Wayne",177,1,7
Kirkwood,"Missouri, St. Louis",27653,2,3
Conway,"Missouri, Laclede",775,7,5
Washington,"Missouri, Franklin",14300,1,0
Chula,"Missouri, Livingston",203,2,3
Camden,"Missouri, Ray",186,1,6
New Madrid,"Missouri, New Madrid",2991,2,1
Howardville,"Missouri, New Madrid",350,3,0
Blue Springs,"Missouri, Jackson",54945,5,5
Waco,"Missouri, Jasper",88,8,8
Bragg City,"Missouri, Pemiscot",137,1,7
Imperial,"Missouri, Jefferson",4580,4,0
Carytown,"Missouri, Jasper",274,2,4
Laredo,"Missouri, Grundy",191,1,1
Barnett,"Missouri, Morgan",196,1,6
Tina,"Missouri, Carroll",150,1,0
De Kalb,"Missouri, Buchanan",224,2,4
Amity,"Missouri, DeKalb",52,5,2
Newtown,"Missouri, Sullivan",168,1,8
Memphis,"Missouri, Scotland",1858,1,8
Glenaire,"Missouri, Clay",573,5,3
Neosho,"Missouri, Newton",12153,1,3
Fenton,"Missouri, St. Louis",4030,4,0
Baker,"Missouri, Stoddard",0,0,0
Gasconade,"Missouri, Gasconade",216,2,6
Kingston,"Missouri, Caldwell",336,3,6
Waynesville,"Missouri, Pulaski",5230,5,0
Weston,"Missouri, Platte",1784,1,4
Palmyra,"Missouri, Marion",3581,3,1
Town and Country,"Missouri, St. Louis",11115,1,5
Appleton City,"Missouri, St. Clair",1072,1,2
Arcola,"Missouri, Dade",53,5,3
Brimson,"Missouri, Grundy",61,6,1
Birch Tree,"Missouri, Shannon",656,6,6
Manchester,"Missouri, St. Louis",18112,1,2
Montrose,"Missouri, Henry",370,3,0
Mooresville,"Missouri, Livingston",88,8,8
Powersville,"Missouri, Putnam",58,5,8
De Witt,"Missouri, Carroll",119,1,9
Birchwood Village,"Minnesota, Washington",888,8,8
Regal,"Minnesota, Kandiyohi",35,3,5
St. Peter,"Minnesota, Nicollet",12372,1,2
Aurora,"Minnesota, St. Louis",1646,1,6
Glencoe,"Minnesota, McLeod",5407,5,7
Fairfax,"Minnesota, Renville",1142,1,2
Aitkin,"Minnesota, Aitkin",2016,2,6
Sanborn,"Minnesota, Redwood",314,3,4
Columbia Heights,"Minnesota, Anoka",20254,2,4
Wolf Lake,"Minnesota, Becker",56,5,6
Currie,"Minnesota, Murray",220,2,0
New Auburn,"Minnesota, Sibley",440,4,0
New London,"Minnesota, Kandiyohi",3558,3,8
Hanska,"Minnesota, Brown",378,3,8
Remer,"Minnesota, Cass",397,3,7
Ostrander,"Minnesota, Fillmore",251,2,1
Mentor,"Minnesota, Polk",146,1,6
Fort Ripley,"Minnesota, Crow Wing",69,6,9
Riverland,"Minnesota, Mahnomen",365,3,5
Midway,"Minnesota, Mahnomen",20,2,0
Brownsville,"Minnesota, Houston",495,4,5
Clara City,"Minnesota, Chippewa",1296,1,6
Donnelly,"Minnesota, Stevens",228,2,8
Manhattan Beach,"Minnesota, Crow Wing",60,6,0
Chickamaw Beach,"Minnesota, Cass",112,1,2
Delavan,"Minnesota, Faribault",169,1,9
Maplewood,"Minnesota, Ramsey",40918,4,8
Holt,"Minnesota, Marshall",87,8,7
Martin Lake,"Minnesota, Anoka",925,9,5
Rockford,"Minnesota, Wright",4802,4,2
Vernon Center,"Minnesota, Blue Earth",318,3,8
Kinbrae,"Minnesota, Nobles",12,1,2
Clearbrook,"Minnesota, Clearwater",529,5,9
Lismore,"Minnesota, Nobles",227,2,7
Pierz,"Minnesota, Morrison",1363,1,3
St. Paul,"Minnesota, Ramsey",306621,3,1
Danvers,"Minnesota, Swift",91,9,1
Climax,"Minnesota, Polk",266,2,6
Minnetonka Beach,"Minnesota, Hennepin",563,5,3
Amboy,"Minnesota, Blue Earth",511,5,1
Stewartville,"Minnesota, Olmsted",6079,6,9
Loretto,"Minnesota, Hennepin",670,6,0
West Concord,"Minnesota, Dodge",775,7,5
Blooming Prairie,"Minnesota, Steele",1981,1,1
Elizabeth,"Minnesota, Otter Tail",173,1,3
Adrian,"Minnesota, Nobles",1221,1,1
Arco,"Minnesota, Lincoln",70,7,0
Wabasha,"Minnesota, Wabasha",2481,2,1
Willmar,"Minnesota, Kandiyohi",20262,2,2
Eveleth,"Minnesota, St. Louis",3622,3,2
Baker,"Minnesota, Clay",57,5,7
Minnetrista,"Minnesota, Hennepin",7739,7,9
Northfield,"Minnesota, Rice",22037,2,7
Anoka,"Minnesota, Anoka",17522,1,2
Renville,"Minnesota, Renville",1191,1,1
West Roy Lake,"Minnesota, Mahnomen",48,4,8
Mabel,"Minnesota, Fillmore",753,7,3
Wilton,"Minnesota, Beltrami",294,2,4
Maple Plain,"Minnesota, Hennepin",1824,1,4
Pine City,"Minnesota, Pine",2999,2,9
Rockville,"Minnesota, Stearns",2539,2,9
Newport,"Minnesota, Washington",3577,3,7
Grasston,"Minnesota, Kanabec",152,1,2
Carlos,"Minnesota, Douglas",492,4,2
Forest Lake,"Minnesota, Washington",23602,2,2
Fairmont,"Minnesota, Martin",9093,9,3
Milan,"Minnesota, Chippewa",359,3,9
Truman,"Minnesota, Martin",1054,1,4
Urbank,"Minnesota, Otter Tail",54,5,4
Le Roy,"Minnesota, Mower",931,9,1
Independence,"Minnesota, Hennepin",3790,3,0
Lilydale,"Minnesota, Dakota",853,8,3
Freeborn,"Minnesota, Freeborn",277,2,7
Wykoff,"Minnesota, Fillmore",435,4,5
Shevlin,"Minnesota, Clearwater",177,1,7
South End,"Minnesota, Clearwater",39,3,9
Zemple,"Minnesota, Itasca",91,9,1
Buffalo Lake,"Minnesota, Renville",688,6,8
Lewiston,"Minnesota, Winona",1564,1,4
St. Anthony,"Minnesota, Hennepin",9077,9,7
Rush City,"Minnesota, Chisago",2955,2,5
Sunfish Lake,"Minnesota, Dakota",547,5,7
Foxhome,"Minnesota, Wilkin",113,1,3
Inger,"Minnesota, Itasca",261,2,1
Hayfield,"Minnesota, Dodge",1333,1,3
Floodwood,"Minnesota, St. Louis",521,5,1
Geneva,"Minnesota, Freeborn",539,5,9
Ogema,"Minnesota, Becker",187,1,7
Leota,"Minnesota, Nobles",181,1,1
Sacred Heart,"Minnesota, Renville",507,5,7
Cohasset,"Minnesota, Itasca",2719,2,9
Princeton,"Minnesota, Mille Lacs",4919,4,9
Tenstrike,"Minnesota, Beltrami",201,2,1
Milroy,"Minnesota, Redwood",239,2,9
Mahtowa,"Minnesota, Carlton",419,4,9
Long Lake,"Minnesota, Hennepin",1840,1,0
Comfrey,"Minnesota, Brown",361,3,1
Slayton,"Minnesota, Murray",2021,2,1
Grygla,"Minnesota, Marshall",211,2,1
Morristown,"Minnesota, Rice",992,9,2
New Brighton,"Minnesota, Ramsey",22787,2,7
Hammond,"Minnesota, Wabasha",133,1,3
Wells,"Minnesota, Faribault",2195,2,5
Victoria,"Minnesota, Carver",9305,9,5
Lake Elmo,"Minnesota, Washington",8983,8,3
Fosston,"Minnesota, Polk",1481,1,1
Rogers,"Minnesota, Hennepin",12984,1,4
St. Stephen,"Minnesota, Stearns",860,8,0
Lyle,"Minnesota, Mower",551,5,1
Belview,"Minnesota, Redwood",359,3,9
Braham,"Minnesota, Isanti",1789,1,9
Sebeka,"Minnesota, Wadena",675,6,5
Dover,"Minnesota, Olmsted",755,7,5
Roseau,"Minnesota, Roseau",2826,2,6
Chatfield,"Minnesota, Fillmore",2607,2,7
Waterville,"Minnesota, Le Sueur",1867,1,7
Kiester,"Minnesota, Faribault",469,4,9
Rice,"Minnesota, Benton",1345,1,5
Bingham Lake,"Minnesota, Cottonwood",125,1,5
St. Paul Park,"Minnesota, Washington",5392,5,2
Fulda,"Minnesota, Murray",1233,1,3
Plato,"Minnesota, McLeod",305,3,5
Watson,"Minnesota, Chippewa",192,1,2
Silver Lake,"Minnesota, McLeod",824,8,4
Falcon Heights,"Minnesota, Ramsey",5592,5,2
Lexington,"Minnesota, Anoka",2037,2,7
Pequot Lakes,"Minnesota, Crow Wing",2300,2,0
Kilkenny,"Minnesota, Le Sueur",136,1,6
Lake Wilson,"Minnesota, Murray",232,2,2
Bowlus,"Minnesota, Morrison",279,2,9
Ebro,"Minnesota, Clearwater",87,8,7
New Munich,"Minnesota, Stearns",321,3,1
Ham Lake,"Minnesota, Anoka",16528,1,8
Lancaster,"Minnesota, Kittson",331,3,1
Doran,"Minnesota, Wilkin",51,5,1
Burnsville,"Minnesota, Dakota",61439,6,9
Meadowlands,"Minnesota, St. Louis",130,1,0
McIntosh,"Minnesota, Polk",614,6,4
Caledonia,"Minnesota, Houston",2638,2,8
Lanesboro,"Minnesota, Fillmore",732,7,2
Fairhaven,"Minnesota, Stearns",503,5,3
Courtland,"Minnesota, Nicollet",693,6,3
Perley,"Minnesota, Norman",86,8,6
Cyrus,"Minnesota, Pope",275,2,5
Westport,"Minnesota, Pope",60,6,0
Dilworth,"Minnesota, Clay",4415,4,5
Darfur,"Minnesota, Watonwan",102,1,2
Lauderdale,"Minnesota, Ramsey",2528,2,8
Stillwater,"Minnesota, Washington",19368,1,8
Halma,"Minnesota, Kittson",58,5,8
Bemidji,"Minnesota, Beltrami",16733,1,3
South St. Paul,"Minnesota, Dakota",20242,2,2
Hewitt,"Minnesota, Todd",256,2,6
Hatfield,"Minnesota, Pipestone",56,5,6
Cuyuna,"Minnesota, Crow Wing",353,3,3
Lake Crystal,"Minnesota, Blue Earth",2501,2,1
Moorhead,"Minnesota, Clay",43122,4,2
Harmony,"Minnesota, Fillmore",999,9,9
Browns Valley,"Minnesota, Traverse",539,5,9
Cloquet,"Minnesota, Carlton",12738,1,8
Glenville,"Minnesota, Freeborn",629,6,9
Waubun,"Minnesota, Mahnomen",410,4,0
Lucan,"Minnesota, Redwood",178,1,8
Sleepy Eye,"Minnesota, Brown",3291,3,1
Crosslake,"Minnesota, Crow Wing",2251,2,1
Campbell,"Minnesota, Wilkin",154,1,4
Biscay,"Minnesota, McLeod",112,1,2
Hills,"Minnesota, Rock",666,6,6
St. James,"Minnesota, Watonwan",4383,4,3
Woodstock,"Minnesota, Pipestone",117,1,7
Hanley Falls,"Minnesota, Yellow Medicine",281,2,1
Wright,"Minnesota, Carlton",128,1,8
Ely,"Minnesota, St. Louis",3386,3,6
Whalan,"Minnesota, Fillmore",66,6,6
Viking,"Minnesota, Marshall",103,1,3
Oakdale,"Minnesota, Washington",28083,2,3
Rothsay,"Minnesota, Wilkin",479,4,9
Parkers Prairie,"Minnesota, Otter Tail",999,9,9
Red Lake Falls,"Minnesota, Red Lake",1404,1,4
Dellwood,"Minnesota, Washington",1100,1,0
Oronoco,"Minnesota, Olmsted",1496,1,6
Plainview,"Minnesota, Wabasha",3280,3,0
Mizpah,"Minnesota, Koochiching",52,5,2
Hibbing,"Minnesota, St. Louis",11389,1,9
Landfall,"Minnesota, Washington",756,7,6
Butterfield,"Minnesota, Watonwan",586,5,6
Aldrich,"Minnesota, Wadena",46,4,6
Maple Lake,"Minnesota, Wright",2126,2,6
Jeffers,"Minnesota, Cottonwood",349,3,9
Baudette,"Minnesota, Lake of the Woods",1004,1,4
Duluth,"Minnesota, St. Louis",120101,1,1
Nielsville,"Minnesota, Polk",87,8,7
Pine Bend,"Minnesota, Mahnomen",38,3,8
Rice Lake,"Minnesota, St. Louis",4145,4,5
Columbus,"Minnesota, Anoka",4065,4,5
Kerkhoven,"Minnesota, Swift",721,7,1
Winona,"Minnesota, Winona",29973,2,3
Fridley,"Minnesota, Anoka",27853,2,3
Hackensack,"Minnesota, Cass",309,3,9
Hutchinson,"Minnesota, McLeod",13773,1,3
Palisade,"Minnesota, Aitkin",166,1,6
Soudan,"Minnesota, St. Louis",405,4,5
Dunnell,"Minnesota, Martin",150,1,0
Granite Falls,"Minnesota, Yellow Medicine",2681,2,1
Marshall,"Minnesota, Lyon",13494,1,4
Owatonna,"Minnesota, Steele",25587,2,7
Nashwauk,"Minnesota, Itasca",950,9,0
Halstad,"Minnesota, Norman",570,5,0
Osakis,"Minnesota, Douglas",1705,1,5
Prinsburg,"Minnesota, Kandiyohi",496,4,6
New Ulm,"Minnesota, Brown",13085,1,5
Grey Eagle,"Minnesota, Todd",331,3,1
Cedar Mills,"Minnesota, Meeker",44,4,4
Northrop,"Minnesota, Martin",213,2,3
South Haven,"Minnesota, Wright",188,1,8
Mora,"Minnesota, Kanabec",3566,3,6
Crystal,"Minnesota, Hennepin",23165,2,5
Plymouth,"Minnesota, Hennepin",78395,7,5
Cosmos,"Minnesota, Meeker",456,4,6
Little Rock,"Minnesota, Beltrami",1095,1,5
Roseville,"Minnesota, Ramsey",36314,3,4
Brownsdale,"Minnesota, Mower",686,6,6
Norcross,"Minnesota, Grant",69,6,9
Prior Lake,"Minnesota, Scott",26401,2,1
Gem Lake,"Minnesota, Ramsey",476,4,6
Battle Lake,"Minnesota, Otter Tail",918,9,8
Hillman,"Minnesota, Morrison",37,3,7
Jenkins,"Minnesota, Crow Wing",458,4,8
New Richland,"Minnesota, Waseca",1187,1,7
Wahkon,"Minnesota, Mille Lacs",213,2,3
Welcome,"Minnesota, Martin",655,6,5
Winger,"Minnesota, Polk",223,2,3
Ponemah,"Minnesota, Beltrami",673,6,3
Deer Creek,"Minnesota, Otter Tail",319,3,9
Le Center,"Minnesota, Le Sueur",2473,2,3
Center City,"Minnesota, Chisago",650,6,0
Dalton,"Minnesota, Otter Tail",249,2,9
Brook Park,"Minnesota, Pine",135,1,5
Montevideo,"Minnesota, Chippewa",5090,5,0
Appleton,"Minnesota, Swift",1342,1,2
Edgerton,"Minnesota, Pipestone",1117,1,7
Cook,"Minnesota, St. Louis",572,5,2
Henriette,"Minnesota, Pine",69,6,9
Blomkest,"Minnesota, Kandiyohi",158,1,8
De Graff,"Minnesota, Swift",125,1,5
Elmdale,"Minnesota, Morrison",118,1,8
Plummer,"Minnesota, Red Lake",290,2,0
Bock,"Minnesota, Mille Lacs",104,1,4
Lake Henry,"Minnesota, Stearns",108,1,8
Chisholm,"Minnesota, St. Louis",4566,4,6
Clarkfield,"Minnesota, Yellow Medicine",803,8,3
Emmons,"Minnesota, Freeborn",380,3,0
Rollingstone,"Minnesota, Winona",665,6,5
Walnut Grove,"Minnesota, Redwood",814,8,4
Rushford Village,"Minnesota, Fillmore",811,8,1
Ormsby,"Minnesota, Martin",125,1,5
Westbrook,"Minnesota, Cottonwood",709,7,9
Erhard,"Minnesota, Otter Tail",148,1,8
Northome,"Minnesota, Koochiching",192,1,2
Solway,"Minnesota, Beltrami",95,9,5
Easton,"Minnesota, Faribault",187,1,7
Benson,"Minnesota, Swift",3043,3,3
Frazee,"Minnesota, Becker",1391,1,1
Franklin,"Minnesota, Renville",471,4,1
St. Louis Park,"Minnesota, Hennepin",49029,4,9
Stockton,"Minnesota, Winona",731,7,1
Taunton,"Minnesota, Lyon",135,1,5
Dennison,"Minnesota, Goodhue",210,2,0
Mantorville,"Minnesota, Dodge",1216,1,6
Russell,"Minnesota, Lyon",338,3,8
Nerstrand,"Minnesota, Rice",293,2,3
Wabasso,"Minnesota, Redwood",665,6,5
Wanda,"Minnesota, Redwood",81,8,1
Lino Lakes,"Minnesota, Anoka",21407,2,7
Millville,"Minnesota, Wabasha",179,1,9
Richville,"Minnesota, Otter Tail",96,9,6
Searles,"Minnesota, Brown",210,2,0
Red Lake,"Minnesota, Beltrami",1760,1,0
Kenneth,"Minnesota, Rock",68,6,8
Lowry,"Minnesota, Pope",295,2,5
Esko,"Minnesota, Carlton",1717,1,7
Verndale,"Minnesota, Wadena",572,5,2
Trimont,"Minnesota, Martin",708,7,8
Oslo,"Minnesota, Marshall",323,3,3
Sandstone,"Minnesota, Pine",2631,2,1
Kasson,"Minnesota, Dodge",7589,7,9
Springfield,"Minnesota, Brown",2022,2,2
Elbow Lake,"Minnesota, Grant",1151,1,1
Bethel,"Minnesota, Anoka",501,5,1
Zimmerman,"Minnesota, Sherburne",8771,8,1
Johnson,"Minnesota, Big Stone",27,2,7
Wood Lake,"Minnesota, Yellow Medicine",409,4,9
Hilltop,"Minnesota, Anoka",754,7,4
Littlefork,"Minnesota, Koochiching",610,6,0
St. Vincent,"Minnesota, Kittson",59,5,9
Peterson,"Minnesota, Fillmore",198,1,8
Sturgeon Lake,"Minnesota, Pine",414,4,4
Silver Bay,"Minnesota, Lake",1769,1,9
Windom,"Minnesota, Cottonwood",4205,4,5
Miltona,"Minnesota, Douglas",401,4,1
La Salle,"Minnesota, Watonwan",84,8,4
St. Clair,"Minnesota, Blue Earth",833,8,3
Spring Grove,"Minnesota, Houston",1283,1,3
Chisago City,"Minnesota, Chisago",5109,5,9
Hancock,"Minnesota, Stevens",732,7,2
Swanville,"Minnesota, Morrison",331,3,1
Revere,"Minnesota, Redwood",89,8,9
Nashua,"Minnesota, Wilkin",67,6,7
Winsted,"Minnesota, McLeod",2289,2,9
Pillager,"Minnesota, Cass",468,4,8
Myrtle,"Minnesota, Freeborn",46,4,6
Kerrick,"Minnesota, Pine",63,6,3
Jackson,"Minnesota, Jackson",3093,3,3
Minnesota Lake,"Minnesota, Faribault",652,6,2
Kent,"Minnesota, Wilkin",77,7,7
Nowthen,"Minnesota, Anoka",4699,4,9
Waite Park,"Minnesota, Stearns",7481,7,1
Otsego,"Minnesota, Wright",16755,1,5
Orr,"Minnesota, St. Louis",339,3,9
Brooks,"Minnesota, Red Lake",139,1,9
Excelsior,"Minnesota, Hennepin",2307,2,7
Pine Point,"Minnesota, Becker",371,3,1
Strathcona,"Minnesota, Roseau",42,4,2
St. Hilaire,"Minnesota, Pennington",270,2,0
Ottertail,"Minnesota, Otter Tail",617,6,7
North St. Paul,"Minnesota, Ramsey",12444,1,4
Beaver Creek,"Minnesota, Rock",285,2,5
Cottage Grove,"Minnesota, Washington",36793,3,3
Deephaven,"Minnesota, Hennepin",3911,3,1
White Earth,"Minnesota, Becker",548,5,8
Cass Lake,"Minnesota, Cass",757,7,7
Williams,"Minnesota, Lake of the Woods",177,1,7
Ashby,"Minnesota, Grant",439,4,9
Spring Lake Park,"Minnesota, Anoka",6502,6,2
Bloomington,"Minnesota, Hennepin",85866,8,6
Isanti,"Minnesota, Isanti",5721,5,1
Greenwood,"Minnesota, Hennepin",748,7,8
Waconia,"Minnesota, Carver",12289,1,9
Clarks Grove,"Minnesota, Freeborn",684,6,4
Meire Grove,"Minnesota, Stearns",190,1,0
Calumet,"Minnesota, Itasca",354,3,4
Preston,"Minnesota, Fillmore",1299,1,9
Warsaw,"Minnesota, Rice",698,6,8
Canton,"Minnesota, Fillmore",347,3,7
Clearwater,"Minnesota, Wright",1786,1,6
Mayer,"Minnesota, Carver",2089,2,9
Spring Valley,"Minnesota, Fillmore",2421,2,1
Fergus Falls,"Minnesota, Otter Tail",12673,1,3
Ranier,"Minnesota, Koochiching",571,5,1
Mendota,"Minnesota, Dakota",209,2,9
Pipestone,"Minnesota, Pipestone",3829,3,9
Tracy,"Minnesota, Lyon",2056,2,6
Boy River,"Minnesota, Cass",49,4,9
Scandia,"Minnesota, Washington",4120,4,0
Madison,"Minnesota, Lac qui Parle",1417,1,7
Ivanhoe,"Minnesota, Lincoln",538,5,8
Sherburn,"Minnesota, Martin",1095,1,5
Lansing,"Minnesota, Mower",180,1,0
Woodbury,"Minnesota, Washington",69756,6,6
Luverne,"Minnesota, Rock",4496,4,6
Bagley,"Minnesota, Clearwater",1414,1,4
Menahga,"Minnesota, Wadena",1313,1,3
Skyline,"Minnesota, Blue Earth",297,2,7
Shoreview,"Minnesota, Ramsey",26794,2,4
Cologne,"Minnesota, Carver",1648,1,8
Robbinsdale,"Minnesota, Hennepin",14544,1,4
Dexter,"Minnesota, Mower",339,3,9
Lake Bronson,"Minnesota, Kittson",202,2,2
Mounds View,"Minnesota, Ramsey",13098,1,8
Marietta,"Minnesota, Lac qui Parle",146,1,6
Lester Prairie,"Minnesota, McLeod",1715,1,5
Bricelyn,"Minnesota, Faribault",341,3,1
Hazel Run,"Minnesota, Yellow Medicine",59,5,9
Milaca,"Minnesota, Mille Lacs",2777,2,7
Barry,"Minnesota, Big Stone",15,1,5
Breckenridge,"Minnesota, Wilkin",3224,3,4
Odessa,"Minnesota, Big Stone",132,1,2
Clements,"Minnesota, Redwood",142,1,2
Mound,"Minnesota, Hennepin",9517,9,7
Elgin,"Minnesota, Wabasha",1082,1,2
Sobieski,"Minnesota, Morrison",197,1,7
Lakeville,"Minnesota, Dakota",63748,6,8
McGregor,"Minnesota, Aitkin",367,3,7
Centerville,"Minnesota, Anoka",4009,4,9
Nett Lake,"Minnesota, St. Louis",339,3,9
Garvin,"Minnesota, Lyon",133,1,3
Beaver Bay,"Minnesota, Lake",171,1,1
Woodland,"Minnesota, Hennepin",480,4,0
Kandiyohi,"Minnesota, Kandiyohi",482,4,2
Isle,"Minnesota, Mille Lacs",798,7,8
Belle Plaine,"Minnesota, Scott",6599,6,9
Goodridge,"Minnesota, Pennington",130,1,0
Faribault,"Minnesota, Rice",24101,2,1
Lewisville,"Minnesota, Watonwan",243,2,3
Harris,"Minnesota, Chisago",1156,1,6
Bovey,"Minnesota, Itasca",791,7,1
Chaska,"Minnesota, Carver",26561,2,1
Vineland,"Minnesota, Mille Lacs",887,8,7
Elysian,"Minnesota, Le Sueur",726,7,6
Stanchfield,"Minnesota, Isanti",74,7,4
Erskine,"Minnesota, Polk",484,4,4
West St. Paul,"Minnesota, Dakota",19767,1,7
Villard,"Minnesota, Pope",248,2,8
Spring Park,"Minnesota, Hennepin",1799,1,9
Rushmore,"Minnesota, Nobles",339,3,9
Delhi,"Minnesota, Redwood",64,6,4
