country,region,candidate,number,first,last
Iran,Ardabil,Karrubi,2319,2,9
Iran,Ardabil,Mousavi,302825,3,5
Iran,Ardabil,Total votes,642005,6,5
Iran,Ardabil,Invalid votes,4372,4,2
Iran,Ardabil,Valid votes,637633,6,3
Iran,Ardabil,Eligible voters,804881,8,1
Iran,Isfahan,Ahmadinejad,1799255,1,5
Iran,Isfahan,Rezai,51788,5,8
Iran,Isfahan,Karrubi,14579,1,9
Iran,Isfahan,Mousavi,746697,7,7
Iran,Isfahan,Total votes,2637482,2,2
Iran,Isfahan,Invalid votes,25163,2,3
Iran,Isfahan,Valid votes,2612319,2,9
Iran,Isfahan,Eligible voters,2987946,2,6
Iran,Ilam,Ahmadinejad,199654,1,4
Iran,Ilam,Rezai,5221,5,1
Iran,Ilam,Karrubi,7471,7,1
Iran,Ilam,Mousavi,96826,9,6
Iran,Ilam,Total votes,312667,3,7
Iran,Ilam,Invalid votes,3495,3,5
Iran,Ilam,Valid votes,309172,3,2
Iran,Ilam,Eligible voters,357687,3,7
Iran,Bushehr,Ahmadinejad,299357,2,7
Iran,Bushehr,Rezai,7608,7,8
Iran,Bushehr,Karrubi,3563,3,3
Iran,Bushehr,Mousavi,177268,1,8
Iran,Bushehr,Total votes,493989,4,9
Iran,Bushehr,Invalid votes,6193,6,3
Iran,Bushehr,Valid votes,487796,4,6
Iran,Bushehr,Eligible voters,580822,5,2
Iran,Tehran,Ahmadinejad,3819495,3,5
Iran,Tehran,Rezai,147487,1,7
Iran,Tehran,Karrubi,67334,6,4
Iran,Tehran,Mousavi,3371523,3,3
Iran,Tehran,Total votes,7521540,7,0
Iran,Tehran,Invalid votes,115701,1,1
Iran,Tehran,Valid votes,7405839,7,9
Iran,Tehran,Eligible voters,8796466,8,6
Iran,Chahar Mahaal and Bakhtiari,Ahmadinejad,359578,3,8
Iran,Chahar Mahaal and Bakhtiari,Rezai,22689,2,9
Iran,Chahar Mahaal and Bakhtiari,Karrubi,4127,4,7
Iran,Chahar Mahaal and Bakhtiari,Mousavi,106099,1,9
Iran,Chahar Mahaal and Bakhtiari,Total votes,495446,4,6
Iran,Chahar Mahaal and Bakhtiari,Invalid votes,2953,2,3
Iran,Chahar Mahaal and Bakhtiari,Valid votes,492493,4,3
Iran,Chahar Mahaal and Bakhtiari,Eligible voters,562238,5,8
Iran,South Khorasan,Ahmadinejad,285984,2,4
Iran,South Khorasan,Rezai,3962,3,2
Iran,South Khorasan,Karrubi,928,9,8
Iran,South Khorasan,Mousavi,90363,9,3
Iran,South Khorasan,Total votes,383157,3,7
Iran,South Khorasan,Invalid votes,1920,1,0
Iran,South Khorasan,Valid votes,381237,3,7
Iran,Khorasan Razavi,Ahmadinejad,2214801,2,1
Iran,Khorasan Razavi,Rezai,44809,4,9
Iran,Khorasan Razavi,Karrubi,13561,1,1
Iran,Khorasan Razavi,Mousavi,884570,8,0
Iran,Khorasan Razavi,Total votes,3181990,3,0
Iran,Khorasan Razavi,Invalid votes,24249,2,9
Iran,Khorasan Razavi,Valid votes,3157741,3,1
Iran,North Khorasan,Ahmadinejad,341104,3,4
Iran,North Khorasan,Rezai,4129,4,9
Iran,North Khorasan,Karrubi,2478,2,8
Iran,North Khorasan,Mousavi,113218,1,8
Iran,North Khorasan,Total votes,464001,4,1
Iran,North Khorasan,Invalid votes,3072,3,2
Iran,North Khorasan,Valid votes,460929,4,9
Iran,Khuzestan,Ahmadinejad,1303129,1,9
Iran,Khuzestan,Rezai,139124,1,4
Iran,Khuzestan,Karrubi,15934,1,4
Iran,Khuzestan,Mousavi,552636,5,6
Iran,Khuzestan,Total votes,2038845,2,5
Iran,Khuzestan,Invalid votes,28022,2,2
Iran,Khuzestan,Valid votes,2010823,2,3
Iran,Khuzestan,Eligible voters,2801644,2,4
Iran,Zanjan,Ahmadinejad,444480,4,0
Iran,Zanjan,Rezai,7276,7,6
Iran,Zanjan,Karrubi,2223,2,3
Iran,Zanjan,Mousavi,126561,1,1
Iran,Zanjan,Total votes,585721,5,1
Iran,Zanjan,Invalid votes,5181,5,1
Iran,Zanjan,Valid votes,580540,5,0
Iran,Zanjan,Eligible voters,632160,6,0
Iran,Semnan,Ahmadinejad,295177,2,7
Iran,Semnan,Rezai,4440,4,0
Iran,Semnan,Karrubi,2147,2,7
Iran,Semnan,Mousavi,77754,7,4
Iran,Semnan,Total votes,383308,3,8
Iran,Semnan,Invalid votes,3790,3,0
Iran,Semnan,Valid votes,379518,3,8
Iran,Semnan,Eligible voters,436492,4,2
Iran,Sistan and Baluchestan,Ahmadinejad,450269,4,9
Iran,Sistan and Baluchestan,Rezai,6616,6,6
Iran,Sistan and Baluchestan,Karrubi,12504,1,4
Iran,Sistan and Baluchestan,Mousavi,507946,5,6
Iran,Sistan and Baluchestan,Total votes,982920,9,0
Iran,Sistan and Baluchestan,Invalid votes,5585,5,5
Iran,Sistan and Baluchestan,Valid votes,977335,9,5
Iran,Sistan and Baluchestan,Eligible voters,1306624,1,4
Iran,Fars,Ahmadinejad,1758026,1,6
Iran,Fars,Rezai,23871,2,1
Iran,Fars,Karrubi,16277,1,7
Iran,Fars,Mousavi,706764,7,4
Iran,Fars,Total votes,2523300,2,0
Iran,Fars,Invalid votes,18362,1,2
Iran,Fars,Valid votes,2504938,2,8
Iran,Fars,Eligible voters,2842209,2,9
Iran,Qazvin,Ahmadinejad,498061,4,1
Iran,Qazvin,Rezai,7978,7,8
Iran,Qazvin,Karrubi,2690,2,0
Iran,Qazvin,Mousavi,177542,1,2
Iran,Qazvin,Total votes,692355,6,5
Iran,Qazvin,Invalid votes,6084,6,4
Iran,Qazvin,Valid votes,686271,6,1
Iran,Qazvin,Eligible voters,749205,7,5
Iran,Qom,Ahmadinejad,422457,4,7
Iran,Qom,Rezai,16297,1,7
Iran,Qom,Karrubi,2314,2,4
Iran,Qom,Mousavi,148467,1,7
Iran,Qom,Total votes,599040,5,0
Iran,Qom,Invalid votes,9505,9,5
Iran,Qom,Valid votes,589535,5,5
Iran,Qom,Eligible voters,655988,6,8
Iran,Kurdistan,Ahmadinejad,315689,3,9
Iran,Kurdistan,Rezai,7140,7,0
Iran,Kurdistan,Karrubi,13862,1,2
Iran,Kurdistan,Mousavi,261772,2,2
Iran,Kurdistan,Total votes,610756,6,6
Iran,Kurdistan,Invalid votes,12293,1,3
Iran,Kurdistan,Valid votes,598463,5,3
Iran,Kurdistan,Eligible voters,943818,9,8
Iran,Kerman,Ahmadinejad,1160446,1,6
Iran,Kerman,Rezai,12016,1,6
Iran,Kerman,Karrubi,4977,4,7
Iran,Kerman,Mousavi,318250,3,0
Iran,Kerman,Total votes,1505814,1,4
Iran,Kerman,Invalid votes,10125,1,5
Iran,Kerman,Valid votes,1495689,1,9
Iran,Kerman,Eligible voters,1738280,1,0
Iran,Kermanshah,Ahmadinejad,573568,5,8
Iran,Kermanshah,Rezai,11258,1,8
Iran,Kermanshah,Karrubi,10798,1,8
Iran,Kermanshah,Mousavi,374188,3,8
Iran,Kermanshah,Total votes,983422,9,2
Iran,Kermanshah,Invalid votes,13610,1,0
Iran,Kermanshah,Valid votes,969812,9,2
Iran,Kermanshah,Eligible voters,1231672,1,2
Iran,Kohgiluyeh & Boyer-Ahmad,Ahmadinejad,253962,2,2
Iran,Kohgiluyeh & Boyer-Ahmad,Rezai,8542,8,2
Iran,Kohgiluyeh & Boyer-Ahmad,Karrubi,4274,4,4
Iran,Kohgiluyeh & Boyer-Ahmad,Mousavi,98937,9,7
Iran,Kohgiluyeh & Boyer-Ahmad,Total votes,368707,3,7
Iran,Kohgiluyeh & Boyer-Ahmad,Invalid votes,2992,2,2
Iran,Kohgiluyeh & Boyer-Ahmad,Valid votes,365715,3,5
Iran,Kohgiluyeh & Boyer-Ahmad,Eligible voters,415694,4,4
Iran,Golestan,Ahmadinejad,515211,5,1
Iran,Golestan,Rezai,5987,5,7
Iran,Golestan,Karrubi,10097,1,7
Iran,Golestan,Mousavi,325806,3,6
Iran,Golestan,Total votes,869453,8,3
Iran,Golestan,Invalid votes,12352,1,2
Iran,Golestan,Valid votes,857101,8,1
Iran,Golestan,Eligible voters,1059769,1,9
Iran,Gilan,Ahmadinejad,998573,9,3
Iran,Gilan,Rezai,12022,1,2
Iran,Gilan,Karrubi,7183,7,3
Iran,Gilan,Mousavi,453806,4,6
Iran,Gilan,Total votes,1483258,1,8
Iran,Gilan,Invalid votes,11674,1,4
Iran,Gilan,Valid votes,1471584,1,4
Iran,Gilan,Eligible voters,1576046,1,6
Iran,Lorestan,Ahmadinejad,677829,6,9
Iran,Lorestan,Rezai,14920,1,0
Iran,Lorestan,Karrubi,44036,4,6
Iran,Lorestan,Mousavi,219156,2,6
Iran,Lorestan,Total votes,964270,9,0
Iran,Lorestan,Invalid votes,8329,8,9
Iran,Lorestan,Valid votes,955941,9,1
Iran,Lorestan,Eligible voters,1124940,1,0
Iran,Mazandaran,Ahmadinejad,1289257,1,7
Iran,Mazandaran,Rezai,19587,1,7
Iran,Mazandaran,Karrubi,10050,1,0
Iran,Mazandaran,Mousavi,585373,5,3
Iran,Mazandaran,Total votes,1919838,1,8
Iran,Mazandaran,Invalid votes,15571,1,1
Iran,Mazandaran,Valid votes,1904267,1,7
Iran,Mazandaran,Eligible voters,1915240,1,0
Iran,Markazi,Ahmadinejad,572988,5,8
Iran,Markazi,Rezai,10057,1,7
Iran,Markazi,Karrubi,4675,4,5
Iran,Markazi,Mousavi,190349,1,9
Iran,Markazi,Total votes,785961,7,1
Iran,Markazi,Invalid votes,7892,7,2
Iran,Markazi,Valid votes,778069,7,9
Iran,Markazi,Eligible voters,885557,8,7
Iran,Hormozgan,Ahmadinejad,482990,4,0
Iran,Hormozgan,Rezai,7237,7,7
Iran,Hormozgan,Karrubi,5126,5,6
Iran,Hormozgan,Mousavi,241988,2,8
Iran,Hormozgan,Total votes,743024,7,4
Iran,Hormozgan,Invalid votes,5683,5,3
Iran,Hormozgan,Valid votes,737341,7,1
Iran,Hormozgan,Eligible voters,919908,9,8
Iran,Hamadan,Ahmadinejad,765723,7,3
Iran,Hamadan,Rezai,13117,1,7
Iran,Hamadan,Karrubi,12032,1,2
Iran,Hamadan,Mousavi,218481,2,1
Iran,Hamadan,Total votes,1019169,1,9
Iran,Hamadan,Invalid votes,9816,9,6
Iran,Hamadan,Valid votes,1009353,1,3
Iran,Hamadan,Eligible voters,1256250,1,0
Iran,Yazd,Ahmadinejad,337178,3,8
Iran,Yazd,Rezai,8406,8,6
Iran,Yazd,Karrubi,2565,2,5
Iran,Yazd,Mousavi,255799,2,9
Iran,Yazd,Total votes,609856,6,6
Iran,Yazd,Invalid votes,5908,5,8
Iran,Yazd,Valid votes,603948,6,8
Iran,Yazd,Eligible voters,609341,6,1
