agedays,sex,mean,sd,cv,l
375,Female,74.4045,2.5922527800000004,0.03484,1
376,Female,74.4443,2.594383855,0.03485,1
377,Female,74.4839,2.595763915,0.03485,1
378,Female,74.5236,2.597892696,0.03486,1
379,Female,74.5632,2.599273152,0.03486,1
380,Female,74.6027,2.6013961489999997,0.03487,1
381,Female,74.6422,2.603519936,0.03488,1
382,Female,74.6817,2.6048976960000005,0.03488,1
383,Female,74.7211,2.607019179,0.03489,1
384,Female,74.7605,2.6083938449999997,0.03489,1
385,Female,74.7998,2.6105130200000004,0.0349,1
386,Female,74.8391,2.6118845900000003,0.0349,1
387,Female,74.8784,2.6140049439999995,0.03491,1
388,Female,74.9176,2.6153734159999993,0.03491,1
389,Female,74.9567,2.617487964,0.03492,1
390,Female,74.9959,2.6196067870000004,0.03493,1
391,Female,75.0349,2.620969057,0.03493,1
392,Female,75.074,2.62308556,0.03494,1
393,Female,75.113,2.62444822,0.03494,1
394,Female,75.1519,2.626558905,0.03495,1
395,Female,75.1908,2.62791846,0.03495,1
396,Female,75.2297,2.6300303119999997,0.03496,1
397,Female,75.2686,2.632142942,0.03497,1
398,Female,75.3073,2.633496281,0.03497,1
399,Female,75.3461,2.635606578,0.03498,1
400,Female,75.3848,2.6369603039999996,0.03498,1
401,Female,75.4235,2.639068265,0.03499,1
402,Female,75.4621,2.6411735000000003,0.035,1
403,Female,75.5007,2.6425245,0.035,1
404,Female,75.5392,2.644627392,0.03501,1
405,Female,75.5777,2.645975277,0.03501,1
406,Female,75.6162,2.6480793240000002,0.03502,1
407,Female,75.6546,2.650180638,0.03503,1
408,Female,75.693,2.65152579,0.03503,1
409,Female,75.7313,2.6536247520000003,0.03504,1
410,Female,75.7696,2.654966784,0.03504,1
411,Female,75.8079,2.657066895,0.03505,1
412,Female,75.8461,2.6591642660000003,0.03506,1
413,Female,75.8843,2.660503558,0.03506,1
414,Female,75.9224,2.6625985679999995,0.03507,1
415,Female,75.9605,2.6639347349999998,0.03507,1
416,Female,75.9986,2.666030888,0.03508,1
417,Female,76.0366,2.6681242940000005,0.03509,1
418,Female,76.0746,2.6694577140000004,0.03509,1
419,Female,76.1125,2.67154875,0.0351,1
420,Female,76.1504,2.6736405440000004,0.03511,1
421,Female,76.1883,2.674971213,0.03511,1
422,Female,76.2261,2.677060632,0.03512,1
423,Female,76.2639,2.678388168,0.03512,1
424,Female,76.3016,2.680475208,0.03513,1
425,Female,76.3393,2.6825630019999998,0.03514,1
426,Female,76.377,2.6838877799999996,0.03514,1
427,Female,76.4146,2.68597319,0.03515,1
428,Female,76.4522,2.688059352,0.03516,1
429,Female,76.4897,2.689377852,0.03516,1
430,Female,76.5272,2.6914616239999996,0.03517,1
431,Female,76.5647,2.693546146,0.03518,1
432,Female,76.6021,2.6948618779999998,0.03518,1
433,Female,76.6395,2.6969440049999998,0.03519,1
434,Female,76.6769,2.698260111,0.03519,1
435,Female,76.7142,2.7003398400000003,0.0352,1
436,Female,76.7515,2.7024203149999995,0.03521,1
437,Female,76.7887,2.703730127,0.03521,1
438,Female,76.8259,2.705808198,0.03522,1
439,Female,76.8631,2.707887013,0.03523,1
440,Female,76.9002,2.709194046,0.03523,1
441,Female,76.9373,2.711270452,0.03524,1
442,Female,76.9744,2.7133475999999996,0.03525,1
443,Female,77.0114,2.7146518499999996,0.03525,1
444,Female,77.0484,2.716726584,0.03526,1
445,Female,77.0853,2.7187985310000005,0.03527,1
446,Female,77.1222,2.7200999940000004,0.03527,1
447,Female,77.1591,2.7221730479999997,0.03528,1
448,Female,77.1959,2.724243311,0.03529,1
449,Female,77.2327,2.725541983,0.03529,1
450,Female,77.2695,2.7276133499999995,0.0353,1
451,Female,77.3062,2.7289088599999998,0.0353,1
452,Female,77.3429,2.730977799,0.03531,1
453,Female,77.3796,2.7330474719999995,0.03532,1
454,Female,77.4162,2.734340184,0.03532,1
455,Female,77.4528,2.736407424,0.03533,1
456,Female,77.4893,2.7384718620000004,0.03534,1
457,Female,77.5258,2.7397617720000005,0.03534,1
458,Female,77.5623,2.7418273049999997,0.03535,1
459,Female,77.5988,2.7438935680000003,0.03536,1
460,Female,77.6352,2.745180672,0.03536,1
461,Female,77.6716,2.7472444919999996,0.03537,1
462,Female,77.7079,2.749305502,0.03538,1
463,Female,77.7442,2.7505897960000003,0.03538,1
464,Female,77.7805,2.752651895,0.03539,1
465,Female,77.8167,2.75471118,0.0354,1
466,Female,77.8529,2.7559926600000004,0.0354,1
467,Female,77.8891,2.7580530309999998,0.03541,1
468,Female,77.9252,2.760110584,0.03542,1
469,Female,77.9613,2.762168859,0.03543,1
470,Female,77.9974,2.7634478820000004,0.03543,1
471,Female,78.0334,2.765503696,0.03544,1
472,Female,78.0694,2.7675602300000004,0.03545,1
473,Female,78.1054,2.7688364300000003,0.03545,1
474,Female,78.1413,2.770890498,0.03546,1
475,Female,78.1772,2.772945284,0.03547,1
476,Female,78.2131,2.774218657,0.03547,1
477,Female,78.249,2.77627452,0.03548,1
478,Female,78.2848,2.7783275520000004,0.03549,1
479,Female,78.3205,2.7795945449999997,0.03549,1
480,Female,78.3563,2.7816486499999997,0.0355,1
481,Female,78.392,2.7836999199999997,0.03551,1
482,Female,78.4276,2.784964076,0.03551,1
483,Female,78.4633,2.787016416,0.03552,1
484,Female,78.4989,2.7890659170000003,0.03553,1
485,Female,78.5345,2.7903307849999996,0.03553,1
486,Female,78.57,2.7923778,0.03554,1
487,Female,78.6055,2.7944255250000003,0.03555,1
488,Female,78.641,2.79647396,0.03556,1
489,Female,78.6764,2.7977327840000004,0.03556,1
490,Female,78.7118,2.7997787259999996,0.03557,1
491,Female,78.7472,2.8018253760000005,0.03558,1
492,Female,78.7826,2.803084908,0.03558,1
493,Female,78.8179,2.8051290609999997,0.03559,1
494,Female,78.8532,2.80717392,0.0356,1
495,Female,78.8884,2.80842704,0.0356,1
496,Female,78.9236,2.810469396,0.03561,1
497,Female,78.9588,2.812512456,0.03562,1
498,Female,78.994,2.81376628,0.03562,1
499,Female,79.0291,2.8158068330000003,0.03563,1
500,Female,79.0642,2.817848088,0.03564,1
501,Female,79.0993,2.819890045,0.03565,1
502,Female,79.1343,2.821137795,0.03565,1
503,Female,79.1693,2.823177238,0.03566,1
504,Female,79.2042,2.825213814,0.03567,1
505,Female,79.2392,2.826462264,0.03567,1
506,Female,79.2741,2.8284998880000005,0.03568,1
507,Female,79.3089,2.830534641,0.03569,1
508,Female,79.3438,2.831780222,0.03569,1
509,Female,79.3786,2.8338160200000004,0.0357,1
510,Female,79.4134,2.835852514,0.03571,1
511,Female,79.4481,2.837886132,0.03572,1
512,Female,79.4828,2.839125616,0.03572,1
513,Female,79.5175,2.8411602749999996,0.03573,1
514,Female,79.5521,2.8431920539999997,0.03574,1
515,Female,79.5868,2.844432232,0.03574,1
516,Female,79.6213,2.846461475,0.03575,1
517,Female,79.6559,2.8484949840000002,0.03576,1
518,Female,79.6904,2.8505256080000003,0.03577,1
519,Female,79.7249,2.8517596730000006,0.03577,1
520,Female,79.7594,2.853791332,0.03578,1
521,Female,79.7938,2.8558201020000005,0.03579,1
522,Female,79.8282,2.857051278,0.03579,1
523,Female,79.8626,2.8590810799999997,0.0358,1
524,Female,79.8969,2.861107989,0.03581,1
525,Female,79.9312,2.863135584,0.03582,1
526,Female,79.9655,2.86436421,0.03582,1
527,Female,79.9998,2.866392834,0.03583,1
528,Female,80.034,2.86841856,0.03584,1
529,Female,80.0682,2.869644288,0.03584,1
530,Female,80.1023,2.871667455,0.03585,1
531,Female,80.1365,2.8736948900000003,0.03586,1
532,Female,80.1706,2.8757194219999995,0.03587,1
533,Female,80.2046,2.876939002,0.03587,1
534,Female,80.2387,2.878964556,0.03588,1
535,Female,80.2727,2.8809872029999997,0.03589,1
536,Female,80.3067,2.8822074630000003,0.03589,1
537,Female,80.3406,2.88422754,0.0359,1
538,Female,80.3745,2.8862482949999997,0.03591,1
539,Female,80.4084,2.888269728,0.03592,1
540,Female,80.4423,2.889487416,0.03592,1
541,Female,80.4761,2.8915062729999996,0.03593,1
542,Female,80.5099,2.893525806,0.03594,1
543,Female,80.5437,2.894740578,0.03594,1
544,Female,80.5774,2.89675753,0.03595,1
545,Female,80.6112,2.8987787519999997,0.03596,1
546,Female,80.6448,2.900793456,0.03597,1
547,Female,80.6785,2.902005645,0.03597,1
548,Female,80.7121,2.904021358,0.03598,1
549,Female,80.7457,2.906037743,0.03599,1
550,Female,80.7793,2.9080548,0.036,1
551,Female,80.8128,2.9092607999999998,0.036,1
552,Female,80.8464,2.9112788640000002,0.03601,1
553,Female,80.8798,2.9132903960000003,0.03602,1
